Step,grad_norm
0,3.767866135
1,3.978297234
2,3.914743423
3,4.095425129
4,3.994606733
5,3.868144512
6,3.840085506
7,4.008874893
8,4.011460304
9,3.878558159
10,3.96182847
11,4.023206234
12,4.03299427
13,3.933835268
14,4.167114735
15,3.967031956
16,3.978792429
17,3.83028388
18,3.790565491
19,3.896070242
20,3.97514534
21,3.937524796
22,3.842926264
23,4.125691414
24,3.925779581
25,3.816935539
26,3.945252657
27,4.004597664
28,3.910914898
29,3.807674408
30,3.944001913
31,3.872110844
32,4.006681919
33,3.757132292
34,4.005641937
35,3.780851603
36,3.98930645
37,3.908898592
38,4.064882278
39,3.883407116
40,3.951099396
41,4.000197887
42,4.03640461
43,3.839713335
44,4.048062801
45,4.142110825
46,4.036509514
47,4.094288349
48,3.970524788
49,4.059405327
50,3.995844841
51,4.038956165
52,4.031023026
53,3.947206259
54,4.080856323
55,3.858846903
56,4.052810192
57,3.954589128
58,3.96119976
59,3.796928406
60,3.797209024
61,3.916255713
62,3.900984764
63,4.087182045
64,3.925677299
65,3.929604053
66,3.94691205
67,3.917854309
68,3.897177219
69,4.007716656
70,3.933694839
71,3.982425928
72,3.993835449
73,3.908754587
74,3.943165064
75,3.939793587
76,3.951950073
77,3.971319675
78,3.900281906
79,3.871968746
80,4.089081287
81,3.904412985
82,3.797171593
83,3.82455349
84,4.082587242
85,3.985888004
86,3.762020111
87,3.905162096
88,3.911022902
89,4.128296852
90,3.853021622
91,4.107907295
92,4.085400581
93,4.031032562
94,3.873059034
95,3.926414967
96,3.809725285
97,3.839162827
98,4.068790436
99,3.724094152
100,4.053366661
101,3.726016045
102,4.078895569
103,3.67111969
104,3.746504307
105,4.157558441
106,4.003092289
107,3.923420668
108,3.894474745
109,3.938451767
110,3.846759796
111,4.032497406
112,3.677235603
113,3.907320261
114,4.026011944
115,3.805683374
116,3.689143181
117,3.927725554
118,3.886834383
119,3.914857864
120,3.899528742
121,3.903508902
122,3.867723227
123,3.793133259
124,3.840707302
125,4.028702736
126,3.767889023
127,3.949600935
128,3.998369455
129,4.038123608
