Step,train_accuracy
0,3.90625
1,3.515625
2,3.90625
3,3.7109375
4,3.4375
5,3.385416667
6,3.459821429
7,3.515625
8,3.819444444
9,3.828125
10,3.622159091
11,3.645833333
12,3.425480769
13,3.683035714
14,3.697916667
15,3.955078125
16,3.998161765
17,3.949652778
18,3.947368421
19,4.140625
20,4.055059524
21,3.941761364
22,3.940217391
23,3.971354167
24,3.9375
25,4.026442308
26,4.224537037
27,4.185267857
28,4.067887931
29,4.036458333
30,3.981854839
31,4.1015625
32,4.071969697
33,4.136029412
34,4.241071429
35,4.253472222
36,4.307432432
37,4.276315789
38,4.266826923
39,4.23828125
40,4.325457317
41,4.389880952
42,4.378633721
43,4.474431818
44,4.444444444
45,4.466711957
46,4.421542553
47,4.39453125
48,4.352678571
49,4.359375
50,4.396446078
51,4.447115385
52,4.436910377
53,4.542824074
54,4.573863636
55,4.58984375
56,4.564144737
57,4.566271552
58,4.634533898
59,4.700520833
60,4.713114754
61,4.725302419
62,4.712301587
63,4.6875
64,4.711538462
65,4.699337121
66,4.769123134
67,4.790900735
68,4.879981884
69,4.877232143
70,4.951584507
71,4.969618056
72,4.987157534
73,5.03589527
74,5.09375
75,5.150082237
76,5.204951299
77,5.23838141
78,5.28085443
79,5.29296875
80,5.285493827
81,5.306783537
82,5.30873494
83,5.319940476
84,5.340073529
85,5.396075581
86,5.39691092
87,5.442116477
88,5.45997191
89,5.442708333
90,5.494505495
91,5.494225543
92,5.502352151
93,5.601728723
94,5.657894737
95,5.6640625
96,5.694265464
97,5.707908163
98,5.705492424
99,5.7265625
100,5.778155941
101,5.859375
102,5.870752427
103,5.889423077
104,5.944940476
105,5.977299528
106,6.01635514
107,6.040219907
108,6.092316514
109,6.100852273
110,6.137387387
111,6.173270089
112,6.180862832
113,6.26370614
114,6.317934783
115,6.384698276
116,6.40357906
117,6.422139831
118,6.446953782
119,6.451822917
120,6.482438017
121,6.51255123
122,6.529471545
123,6.571320565
124,6.60625
125,6.634424603
126,6.668307087
127,6.695556641
128,6.716327519
129,6.748798077
130,6.816555344
131,6.841856061
